e_number,article_number,name,category,series,size,color,unit,length_meters,active
1270122,NAL310T25020B,KABL VIT HANE SV+FRI RQQ3G2,5 2M,cable,EnstoNet,3G2.5,white-black,m,2,true
1270374,NAL310T25030B,KABL VIT HANE SV+FRI RQQ3G2,5 3M,cable,EnstoNet,3G2.5,white-black,m,3,true
1270025,NAL330T15020B,KABL VIT HAN+HON SV RQQ 3G1,5 2M,cable,EnstoNet,3G1.5,white-black,m,2,true
1270026,NAL330T15030B,KABL VIT HAN+HON SV RQQ 3G1,5 3M,cable,EnstoNet,3G1.5,white-black,m,3,true
1270027,NAL330T15040B,KABL VIT HAN+HON SV RQQ 3G1,5 4M,cable,EnstoNet,3G1.5,white-black,m,4,true
1270028,NAL330T15050B,KABL VIT HAN+HON SV RQQ 3G1,5 5M,cable,EnstoNet,3G1.5,white-black,m,5,true
1270029,NAL330T15060B,KABL VIT HAN+HON SV RQQ 3G1,5 6M,cable,EnstoNet,3G1.5,white-black,m,6,true
1270054,NAL330T25020B,KABL VIT HAN+HON SV RQQ 3G2,5 2M,cable,EnstoNet,3G2.5,white-black,m,2,true
1270055,NAL330T25030B,KABL VIT HAN+HON SV RQQ 3G2,5 3M,cable,EnstoNet,3G2.5,white-black,m,3,true
1270301,NAL330T25040B,KABL VIT HAN+HON SV RQQ 3G2,5 4M,cable,EnstoNet,3G2.5,white-black,m,4,true
1270056,NAL330T25050B,KABL VIT HAN+HON SV RQQ 3G2,5 5M,cable,EnstoNet,3G2.5,white-black,m,5,true
1270302,NAL330T25060B,KABL VIT HAN+HON SV RQQ 3G2,5 6M,cable,EnstoNet,3G2.5,white-black,m,6,true
1270387,NAL150T15020B,KABL VIT HON SV+FRI RQQ5G1,5 2M,cable,EnstoNet,5G1.5,white-black,m,2,true
1270799,NAL150T15030B,KABL VIT HON SV+FRI RQQ5G1,5 3M,cable,EnstoNet,5G1.5,white-black,m,3,true
1270397,NAL150T25020B,KABL VIT HON SV+FRI RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white-black,m,2,true
1270839,NAL150T25030B,KABL VIT HON SV+FRI RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white-black,m,3,true
1270418,NCL150T15020G,KABL VIT HON GRÅ+FRI RQQ5G1,5 2M,cable,EnstoNet,5G1.5,white-gray,m,2,true
1270419,NCL150T15030G,KABL VIT HON GRÅ+FRI RQQ5G1,5 3M,cable,EnstoNet,5G1.5,white-gray,m,3,true
1270430,NCL150T25020G,KABL VIT HON GRÅ+FRI RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white-gray,m,2,true
1270431,NCL150T25030G,KABL VIT HON GRÅ+FRI RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white-gray,m,3,true
1270380,NAL510T15010B,KABL VIT HANE SV+FRI RQQ5G1,5 1M,cable,EnstoNet,5G1.5,white-black,m,1,true
1270381,NAL510T15020B,KABL VIT HANE SV+FRI RQQ5G1,5 2M,cable,EnstoNet,5G1.5,white-black,m,2,true
1270382,NAL510T15030B,KABL VIT HANE SV+FRI RQQ5G1,5 3M,cable,EnstoNet,5G1.5,white-black,m,3,true
1270844,NAL510T25010B,KABL VIT HANE SV+FRI RQQ5G2,5 1M,cable,EnstoNet,5G2.5,white-black,m,1,true
1270391,NAL510T25020B,KABL VIT HANE SV+FRI RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white-black,m,2,true
1270392,NAL510T25030B,KABL VIT HANE SV+FRI RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white-black,m,3,true
1270082,NAL550T15020B,KABL VIT HAN+HON SV RQQ 5G1,5 2M,cable,EnstoNet,5G1.5,white-black,m,2,true
1270083,NAL550T15030B,KABL VIT HAN+HON SV RQQ 5G1,5 3M,cable,EnstoNet,5G1.5,white-black,m,3,true
1270084,NAL550T15040B,KABL VIT HAN+HON SV RQQ 5G1,5 4M,cable,EnstoNet,5G1.5,white-black,m,4,true
1270085,NAL550T15050B,KABL VIT HAN+HON SV RQQ 5G1,5 5M,cable,EnstoNet,5G1.5,white-black,m,5,true
1270311,NAL550T15060B,KABL VIT HAN+HON SV RQQ 5G1,5 6M,cable,EnstoNet,5G1.5,white-black,m,6,true
1270110,NAL550T25020B,KABL VIT HAN+HON SV RQQ 5G2,5 2M,cable,EnstoNet,5G2.5,white-black,m,2,true
1270111,NAL550T25030B,KABL VIT HAN+HON SV RQQ 5G2,5 3M,cable,EnstoNet,5G2.5,white-black,m,3,true
1270312,NAL550T25040B,KABL VIT HAN+HON SV RQQ 5G2,5 4M,cable,EnstoNet,5G2.5,white-black,m,4,true
1270112,NAL550T25050B,KABL VIT HAN+HON SV RQQ 5G2,5 5M,cable,EnstoNet,5G2.5,white-black,m,5,true
1270313,NAL550T25060B,KABL VIT HAN+HON SV RQQ 5G2,5 6M,cable,EnstoNet,5G2.5,white-black,m,6,true
1270412,NCL510T15010G,KABL VIT HANE GRÅ+FRI RQQ5G1,5 1M,cable,EnstoNet,5G1.5,white-gray,m,1,true
1271008,NCL510T15015G,KABL VIT HANE GRÅ+FRI RQQ5G1,5 1.5M,cable,EnstoNet,5G1.5,white-gray,m,1.5,true
1270413,NCL510T15020G,KABL VIT HANE GRÅ+FRI RQQ5G1,5 2M,cable,EnstoNet,5G1.5,white-gray,m,2,true
1270328,NCL510T15025G,KABL VIT HANE GRÅ+FRI RQQ5G1,5 2.5M,cable,EnstoNet,5G1.5,white-gray,m,2.5,true
1270414,NCL510T15030G,KABL VIT HANE GRÅ+FRI RQQ5G1,5 3M,cable,EnstoNet,5G1.5,white-gray,m,3,true
1270415,NCL510T15040G,KABL VIT HANE GRÅ+FRI RQQ5G1,5 4M,cable,EnstoNet,5G1.5,white-gray,m,4,true
1270427,NCL510T25020G,KABL VIT HANE GRÅ+FRI RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white-gray,m,2,true
1270428,NCL510T25030G,KABL VIT HANE GRÅ+FRI RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white-gray,m,3,true
1270305,NCL550T15020G,KABL VIT HAN+HON GRÅ RQQ 5G1,5 2M,cable,EnstoNet,5G1.5,white-gray,m,2,true
1270306,NCL550T15030G,KABL VIT HAN+HON GRÅ RQQ 5G1,5 3M,cable,EnstoNet,5G1.5,white-gray,m,3,true
1270307,NCL550T15040G,KABL VIT HAN+HON GRÅ RQQ 5G1,5 4M,cable,EnstoNet,5G1.5,white-gray,m,4,true
1270308,NCL550T15050G,KABL VIT HAN+HON GRÅ RQQ 5G1,5 5M,cable,EnstoNet,5G1.5,white-gray,m,5,true
1270309,NCL550T15060G,KABL VIT HAN+HON GRÅ RQQ 5G1,5 6M,cable,EnstoNet,5G1.5,white-gray,m,6,true
1270422,NCL550T25020G,KABL VIT HAN+HON GRÅ RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white-gray,m,2,true
1270423,NCL550T25030G,KABL VIT HAN+HON GRÅ RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white-gray,m,3,true
1270851,NCL550T25040G,KABL VIT HAN+HON GRÅ RQQ5G2,5 4M,cable,EnstoNet,5G2.5,white-gray,m,4,true
1270424,NCL550T25050G,KABL VIT HAN+HON GRÅ RQQ5G2,5 5M,cable,EnstoNet,5G2.5,white-gray,m,5,true
1270852,NCL550T25060G,KABL VIT HAN+HON GRÅ RQQ5G2,5 6M,cable,EnstoNet,5G2.5,white-gray,m,6,true
1270700,NAL130W15020,KABL VIT HONA+FRI RQQ SKÄ.3G1,5 2M,cable,EnstoNet,3G1.5,white,m,2,true
1270853,NAL130W15030,KABL VIT HONA+FRI RQQ SKÄ.3G1,5 3M,cable,EnstoNet,3G1.5,white,m,3,true
